seat,waitlistSeat
"(1,0,1)","(0,0,0)"
"(192,96,96)","(0,0,0)"
"(112,112,0)","(0,0,0)"
"(192,137,55)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(15,0,15)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(120,78,42)","(0,0,0)"
"(192,67,125)","(0,0,0)"
"(24,24,0)","(10,0,10)"
"(24,24,0)","(10,4,6)"
"(24,24,0)","(10,3,7)"
"(24,24,0)","(10,0,10)"
"(24,24,0)","(10,0,10)"
"(24,24,0)","(10,2,8)"
"(24,24,0)","(10,2,8)"
"(24,24,0)","(5,1,4)"
"(120,120,0)","(15,0,15)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(24,24,0)","(5,1,4)"
"(24,23,1)","(5,0,5)"
"(24,24,0)","(5,0,5)"
"(20,20,0)","(12,1,11)"
"(24,24,0)","(12,0,12)"
"(20,20,0)","(12,0,12)"
"(24,24,0)","(12,0,12)"
"(24,24,0)","(12,3,9)"
"(24,24,0)","(5,0,5)"
"(24,24,0)","(5,0,5)"
"(24,23,1)","(5,0,5)"
"(24,23,1)","(5,0,5)"
"(24,20,4)","(5,0,5)"
"(24,23,1)","(5,0,5)"
"(80,76,4)","(15,0,15)"
"(106,105,0)","(15,14,1)"
"(150,118,32)","(20,0,20)"
"(90,86,4)","(10,0,10)"
"(24,24,0)","(5,4,1)"
